Coordinate
46.963940N 088.233388E
46.581658N 088.711186E
46.021914N 089.352873E
45.284685N 089.161733E
44.847791N 089.434791E
44.301728N 089.789766E
43.619083N 089.598626E
43.018354N 089.830725E
43.264107N 090.513318E
42.595167N 091.346145E
42.226539N 093.025400E
42.076357N 094.718308E
46.376864N 083.932827E
45.311990N 085.038713E
44.724915N 085.516511E
44.670304N 086.745274E
44.779527N 087.550742E
43.810223N 088.588310E
42.513250N 089.571320E
41.912522N 090.745417E
41.816952N 091.359798E
41.393711N 092.561201E
41.298141N 094.022009E
42.549704N 088.251252E
43.326163N 082.193587E
42.011427N 083.538174E
41.951687N 084.628796E
41.398880N 085.973394E
41.832149N 087.362814E
40.248530N 086.929540E
39.845133N 088.602808E
40.039367N 089.573929E
40.203708N 090.530083E
40.099107N 092.263125E
40.562281N 083.612893E
39.576202N 084.090933E
38.829239N 085.121836E
37.350185N 086.018216E
37.170897N 087.855830E
38.814289N 087.347854E
38.425852N 089.080888E
39.172863N 089.812940E
38.351145N 090.305981E
41.316408N 095.569688E
41.121328N 095.164453E
40.926211N 094.894321E
40.520977N 097.100508E
39.770567N 098.406186E
39.605508N 099.306680E
38.720039N 101.047582E
38.638566N 101.696456E
38.470488N 102.503098E
38.036065N 103.166193E
37.260411N 104.347585E
36.914342N 104.037308E
40.040788N 093.194790E
39.419906N 096.631235E
39.304406N 098.306171E
38.842360N 099.634530E
38.163743N 101.165047E
37.170743N 103.438388E
37.663352N 102.244762E
36.829686N 103.068951E
34.312434N 104.806843E
34.657803N 103.724637E
35.079960N 102.527322E
35.402302N 103.310177E
35.747686N 102.734535E
36.737772N 104.461450E
36.584263N 105.159902E
35.862818N 104.415410E
35.663270N 106.687242E
36.362058N 107.672234E
35.446513N 104.157071E
35.125744N 105.045881E
35.246019N 106.228738E
35.613579N 107.645504E
35.446513N 108.246960E
37.144208N 097.044946E
37.552824N 098.614878E
36.778614N 098.335268E
36.197914N 098.593367E
36.283956N 097.238457E
36.090360N 095.948078E
35.380682N 094.851294E
35.896850N 093.948020E
36.563508N 092.571639E
38.111992N 091.259793E
38.542055N 092.808214E
37.574335N 092.765194E
37.423761N 095.281420E
37.875398N 096.980415E
38.047482N 098.765367E
37.638830N 100.018981E
38.118594N 100.371755E
37.822266N 101.063150E
37.328404N 101.133694E
37.144968N 094.798244E
36.989783N 093.754075E
36.665241N 094.219741E
36.241942N 094.459568E
36.270137N 095.150987E
36.707553N 095.884707E
37.499866N 101.800835E
36.974097N 102.235152E
36.711228N 102.120839E
36.139794N 102.326571E
35.716910N 102.052270E
36.014032N 101.595087E
36.551224N 101.549400E
36.894100N 100.852215E
37.008384N 099.915016E
36.551224N 099.446411E
37.419835N 099.183543E
36.436917N 100.737930E
36.139794N 100.440763E
35.808329N 100.577914E
35.591157N 100.977932E
34.985426N 100.463620E
35.111143N 101.457936E
36.110170N 105.599257E
36.293207N 106.292214E
36.626629N 105.638476E
36.999245N 105.383517E
37.339182N 105.592717E
37.620297N 105.344298E
37.986379N 105.867273E
37.966783N 106.579851E
38.051761N 107.030929E
36.999245N 106.148395E
37.326114N 106.579851E
37.548382N 107.024388E
38.254420N 105.854215E
38.803558N 106.083014E
39.136954N 106.390273E
36.937838N 108.072310E
37.625663N 108.482094E
37.728109N 108.891850E
38.159827N 109.228449E
37.589080N 109.755278E
37.193956N 109.813828E
36.601252N 110.018716E
35.884173N 109.886999E
35.342675N 109.213804E
34.742679N 108.789418E
36.293936N 108.569899E
35.898800N 108.782101E
35.584146N 108.986979E
35.423175N 108.569899E
35.086584N 107.925978E
34.954872N 107.633285E
34.610968N 107.530841E
33.360481N 106.475658E
33.217185N 107.247288E
33.735308N 107.633143E
34.132152N 107.203211E
34.451835N 106.740197E
34.462862N 107.170123E
34.804601N 106.629983E
35.146341N 106.685087E
34.418787N 107.688247E
34.363644N 108.272504E
34.099069N 108.415800E
34.077048N 109.441018E
33.834530N 110.157569E
34.451835N 110.036305E
33.680169N 109.253605E
33.426645N 108.625273E
33.062859N 108.294563E
32.941579N 109.088261E
32.467573N 109.022116E
